Date,Open,High,Low,Close,Adj Close,Volume
2017-03-01,136.470001,142.949997,136.080002,142.050003,142.050003,342098600
2017-04-01,141.929993,151.529999,138.809998,150.250000,150.250000,275586300
2017-05-01,151.740005,153.600006,144.419998,151.460007,151.460007,403586900
2017-06-01,151.750000,156.500000,144.559998,150.979996,150.979996,414757100
2017-07-01,151.720001,175.490005,147.800003,169.250000,169.250000,419907600
2017-08-01,169.820007,173.050003,165.000000,171.970001,171.970001,303622800
2017-09-01,172.399994,174.000000,161.559998,170.869995,170.869995,304818300
2017-10-01,171.389999,180.800003,168.289993,180.059998,180.059998,318146600
2017-11-01,182.360001,184.250000,174.000000,177.179993,177.179993,350998700
2017-12-01,176.029999,182.279999,169.009995,176.460007,176.460007,317095800
2018-01-01,177.679993,190.660004,175.800003,186.889999,186.889999,495655700
2018-02-01,188.220001,195.320007,167.179993,178.320007,178.320007,516251600
2018-03-01,179.009995,186.100006,149.020004,159.789993,159.789993,996201700
2018-04-01,157.809998,177.100006,150.509995,172.000000,172.000000,750072700
2018-05-01,172.000000,192.720001,170.229996,191.779999,191.779999,401144100
2018-06-01,193.070007,203.550003,186.429993,194.320007,194.320007,387265600
2018-07-01,193.369995,218.619995,166.559998,172.580002,172.580002,647030700
2018-08-01,173.929993,188.300003,170.270004,175.729996,175.729996,548832700
2018-09-01,173.500000,173.889999,158.869995,164.460007,164.460007,500468800
2018-10-01,163.029999,165.880005,139.029999,151.789993,151.789993,622446300
2018-11-01,151.520004,154.130005,126.849998,140.610001,140.610001,518151700
2018-12-01,143.000000,147.190002,123.019997,131.089996,131.089996,558786200
2019-01-01,128.990005,171.679993,128.559998,166.690002,166.690002,527547900
2019-02-01,165.839996,172.470001,159.589996,161.449997,161.449997,302243200
2019-03-01,162.600006,174.300003,159.279999,166.690002,166.690002,387936100
2019-04-01,167.830002,198.479996,167.279999,193.399994,193.399994,381985300
2019-05-01,194.779999,196.179993,177.160004,177.470001,177.470001,286821500
2019-06-01,175.000000,198.880005,160.839996,193.000000,193.000000,426428600
2019-07-01,195.210007,208.660004,191.929993,194.229996,194.229996,351020900
2019-08-01,194.169998,198.470001,176.660004,185.669998,185.669998,294689500
2019-09-01,184.000000,193.100006,175.660004,178.080002,178.080002,264538500
2019-10-01,179.149994,198.089996,173.089996,191.649994,191.649994,326207200
2019-11-01,192.850006,203.800003,188.539993,201.639999,201.639999,258303900
2019-12-01,202.130005,208.929993,193.169998,205.250000,205.250000,276257100
2020-01-01,206.750000,224.199997,201.059998,201.910004,201.910004,347314600
2020-02-01,203.440002,218.770004,181.820007,192.470001,192.470001,317547300
2020-03-01,194.029999,197.240005,137.100006,166.800003,166.800003,649467700
2020-04-01,161.619995,209.690002,150.830002,204.710007,204.710007,541334600
2020-05-01,201.600006,240.899994,198.759995,225.089996,225.089996,509476500
2020-06-01,224.589996,245.190002,207.110001,227.070007,227.070007,548043800
2020-07-01,228.500000,255.850006,226.899994,253.669998,253.669998,517599700
2020-08-01,252.649994,304.670013,247.429993,293.200012,293.200012,574239100
2020-09-01,294.709991,303.600006,244.130005,261.899994,261.899994,499115300
2020-10-01,265.350006,285.239990,254.820007,263.109985,263.109985,454101600
2020-11-01,264.600006,297.380005,257.339996,276.970001,276.970001,356771600
2020-12-01,279.160004,291.779999,264.630005,273.160004,273.160004,363901000
2021-01-01,274.779999,286.790009,244.610001,258.329987,258.329987,452633100
2021-02-01,259.519989,276.600006,254.039993,257.619995,257.619995,317775200
2021-03-01,260.820007,299.709991,253.500000,294.529999,294.529999,497416700
2021-04-01,298.399994,331.809998,296.040009,325.079987,325.079987,421257700
2021-05-01,326.170013,333.779999,298.190002,328.730011,328.730011,353423700
2021-06-01,330.149994,358.140015,323.480011,347.709991,347.709991,344810400
2021-07-01,346.820007,377.549988,334.500000,358.320007,358.320007,319344100
