Date,Open,High,Low,Close,Adj Close,Volume
1999-01-01,34.902344,43.781250,34.000000,43.750000,27.723839,1472518800
1999-02-01,43.859375,43.984375,35.996094,37.531250,23.783079,1599103200
1999-03-01,37.390625,47.312500,36.765625,44.812500,28.397120,1569410000
1999-04-01,45.625000,47.812500,39.937500,40.656250,25.763353,1163599400
1999-05-01,40.718750,40.906250,37.750000,40.343750,25.565315,1124257000
1999-06-01,40.312500,45.125000,38.062500,45.093750,28.575350,887432600
1999-07-01,44.937500,50.375000,42.750000,42.906250,27.189142,1144701200
1999-08-01,42.843750,48.187500,40.812500,46.281250,29.327843,1347994200
1999-09-01,46.156250,48.937500,44.406250,45.281250,28.694166,977273600
1999-10-01,45.093750,47.625000,42.531250,46.281250,29.327843,1062304400
1999-11-01,46.625000,47.250000,42.187500,45.523438,28.847631,1465256000
1999-12-01,45.531250,59.968750,45.437500,58.375000,36.991508,1260977800
2000-01-01,58.687500,59.312500,47.437500,48.937500,31.011065,1274875200
2000-02-01,49.250000,55.000000,44.062500,44.687500,28.317902,1334487600
2000-03-01,44.812500,57.500000,44.468750,53.125000,33.664642,2028187600
2000-04-01,47.218750,48.250000,32.500000,34.875000,22.099854,2258146600
2000-05-01,36.437500,37.000000,30.187500,31.281250,19.822535,1344430800
2000-06-01,32.187500,41.093750,31.906250,40.000000,25.347492,1467050200
2000-07-01,39.843750,41.437500,33.625000,34.906250,22.119650,1234185800
2000-08-01,34.968750,37.437500,34.062500,34.906250,22.119650,1219399800
2000-09-01,35.000000,36.031250,29.312500,30.156250,19.109638,1425533800
2000-10-01,30.250000,35.062500,24.218750,34.437500,21.822615,2469415600
2000-11-01,34.250000,36.187500,28.500000,28.687500,18.178907,1983462600
2000-12-01,29.031250,30.312500,20.156250,21.687500,13.743100,2056668200
2001-01-01,22.062500,32.375000,21.437500,30.531250,19.347263,2005531200
2001-02-01,30.406250,32.531250,26.937500,29.500000,18.693783,1536895600
2001-03-01,29.281250,30.562500,24.875000,27.343750,17.327389,1895349800
2001-04-01,27.406250,35.549999,25.531250,33.875000,21.466162,2075807000
2001-05-01,33.830002,36.075001,33.625000,34.590000,21.919247,1777305800
2001-06-01,34.799999,38.075001,33.005001,36.500000,23.129589,1449177800
2001-07-01,36.025002,36.575001,32.099998,33.095001,20.971889,1455201000
2001-08-01,33.400002,33.770000,28.150000,28.525000,18.075933,1153896400
2001-09-01,28.594999,29.540001,23.750000,25.584999,16.212887,1510824400
2001-10-01,25.469999,31.815001,25.205000,29.075001,18.424459,1750891000
2001-11-01,30.040001,34.169998,29.799999,32.105000,20.344530,1330968600
2001-12-01,31.915001,34.945000,31.900000,33.125000,20.990898,977089000
2002-01-01,33.325001,35.310001,30.665001,31.855000,20.186113,1360115800
2002-02-01,32.075001,32.250000,28.575001,29.170000,18.484661,1131159200
2002-03-01,29.525000,32.500000,29.155001,30.155001,19.108843,1073244200
2002-04-01,29.915001,30.200001,25.719999,26.129999,16.558256,1417479400
2002-05-01,26.080000,28.219999,24.174999,25.455000,16.130507,1420266200
2002-06-01,25.495001,28.219999,24.584999,27.350000,17.331348,1834073000
2002-07-01,27.059999,27.465000,20.705000,23.990000,15.202160,2432188000
2002-08-01,23.790001,26.725000,21.900000,24.540001,15.550693,1715757200
2002-09-01,24.260000,25.549999,21.555000,21.870001,13.858747,1695705800
2002-10-01,22.160000,27.035000,21.594999,26.735001,16.941635,2475370600
2002-11-01,26.215000,29.320000,25.950001,28.840000,18.275545,1555997200
2002-12-01,29.325001,29.480000,25.629999,25.850000,16.380819,1268370200
2003-01-01,26.150000,28.660000,23.514999,23.730000,15.037395,1718662200
2003-02-01,23.965000,24.990000,23.000000,23.700001,15.018394,1346970800
2003-03-01,24.020000,26.799999,22.549999,24.209999,15.390909,1371902600
2003-04-01,24.459999,26.430000,23.950001,25.570000,16.255491,1249617700
2003-05-01,25.540001,26.500000,23.889999,24.610001,15.645189,1311003700
2003-06-01,24.980000,26.510000,23.600000,25.639999,16.299997,1569995800
2003-07-01,25.590000,27.809999,25.389999,26.410000,16.789499,1292011000
2003-08-01,26.330000,26.950001,25.430000,26.520000,16.859423,966506900
